Unnamed: 0,rating,review,clean_review
1165,4,food items not making my instructions. very spicy ,food items making instructions spicy
1166,5,please refund the money. The taste is with sugar .chaap is without sugar content ,please refund money taste sugar chaap without sugar content
1167,1,it was very chewy and horrible,chewy horrible
1168,5,So much sweet and less cocked,much sweet less cocked
1169,1,not properly cooked ,properly cooked
1170,1,The chicken and the accompaniments were completely stale. The butter chicken was the worst I have ever had. ,chicken accompaniments completely stale butter chicken worst ever
1171,2,"Tandoori chicken in not good quality. Restaurant sent bad piece,this i exepriance 2 time. Quality of good is not good.some smell is come out of food",tandoori chicken good quality restaurant sent bad piecethis exepriance time quality good goodsome smell come food
1172,5,QUANTITY IS QUITE LOW COMPARED TO PRICE,quantity quite low compared price
1173,5,"The taste was worst, biryani is not yet all good. ",taste worst biryani yet good
1174,1,"never eat this, its ginger ki sabji",never eat ginger ki sabji
1175,2,Excellent food. Highly recommended,excellent food highly recommended
1176,1,Only 3 piece,piece
1177,3,No,
1178,1,not nice ,nice
1179,1,"I ordered a chicken leg, and got a cold chicken leg &amp; the test was extremely bad 😞, I never suggest this restaurant. Waste of money &amp; waste of my good mood 😤",ordered chicken leg got cold chicken leg amp test extremely bad never suggest restaurant waste money amp waste good mood
1180,5,Overall okay in taste.,overall okay taste
1181,1,I ordered paneer butter masala n reveives palak paneer,ordered paneer butter masala n reveives palak paneer
1182,1,poor quantity,poor quantity
1183,4,chor restaurant 254 me chori Kiya hai,chor restaurant chori kiya hai
1184,5,worst everr biriyani... <br/><br/>top of that ordered with bone and got boneless...<br/><br/>give a skip to this place if you want good food...,worst everr biriyani brbrtop ordered bone got bonelessbrbrgive skip place want good food
1185,5,i ordered angara chicken with bone what they shown in photo but they sent a diffrent dish which was not angara chicken and it was bonless dish which i received so really bad experience with this restaurant,ordered angara chicken bone shown photo sent diffrent dish angara chicken bonless dish received really bad experience restaurant
1186,1,All items are cheap<br/>Not deserve too much rate,items cheapbrnot deserve much rate
1187,1,very costly chicken ,costly chicken
1188,2,only 1 butter kulcha delivered insted of 3,butter kulcha delivered insted
1189,4,worst biriyani I have ever had,worst biriyani ever
1190,1,very spicy n very less in quantity.,spicy n less quantity
1191,1,tasteless,tasteless
1192,5,good foods ,good foods
1193,1,FOOD WAS NOT HOT,food hot
1194,4,"packaging not proper, 2 container were open and entire bag was messed up with dal",packaging proper container open entire bag messed dal
1195,1,Not good ,good
1196,1,good and tastey meal,good tastey meal
1197,1,Excellent...,excellent
1198,4,"The service was good but the taste of all items, especially the vegetables, was bland and could be better. ",service good taste items especially vegetables bland could better
1199,5,thank you,thank
1200,1,excellent ,excellent
1201,5,"<span class=""sc-hAcydR bCImyV"">I did order a Thali from Kansas food was good but zomato driver experience was worst in life. I did order the food on right address but some how it was showing 2 address on zomato driver end, so he call me and spoke with me possibly the worst way a human can speak with other, so I said him if you have this many problems then do not deliver but talk with me with some respect and i hung up the call so then I got a call from zomato that he will deliver and he did but the damage was done by driver. If you do not love your job then please quite and why zomato is hiring such drivers who do not have sense to talk with there customers. My rating is 0 star to zomato and this was my first order...</span><span class=""sc-kbdWBx jsqbBm"">read more</span>",span classschacydr bcimyvi order thali kansas food good zomato driver experience worst life order food right address showing address zomato driver end call spoke possibly worst way human speak said many problems deliver talk respect hung call got call zomato deliver damage done driver love job please quite zomato hiring drivers sense talk customers rating star zomato first orderspanspan classsckbdwbx jsqbbmread morespan
1202,5,good,good
1203,5,delicious food ,delicious food
1204,1,dealyd,dealyd
1205,4,"Rotis were partially uncooked, subzi had too much oil, it was floating on Valor subzi.",rotis partially uncooked subzi much oil floating valor subzi
1206,5,dishes and spoon not available in parcel ,dishes spoon available parcel
1207,5,Not so great. No option for Tika dal. we have received sweet dal which is difficult to consume and wasted. Aloo sabji gravy is under cooked with over boiled potatoes. ,great option tika dal received sweet dal difficult consume wasted aloo sabji gravy cooked boiled potatoes
1208,1,not good test. west off mony,good test west mony
1209,4,Normal,normal
1210,5,Little spicy.. But overall very good.. Feels like home food ,little spicy overall good feels like home food
1211,1,good service and delevery boy,good service delevery boy
1212,5,please change your cooking style ,please change cooking style
1213,1,ordered jain food but received regular ,ordered jain food received regular
1214,3,horrible food,horrible food
1215,2,overall food was very good yet Chapati need to be improved 😊❤️ Rest everything was so good,overall food good yet chapati need improved rest everything good
1216,1,all sabji containers are leaked. need to improve container,sabji containers leaked need improve container
1217,2,"packing me aap  ka  fevicol  joro  se chipak jata  hai , ukhadta  nahi  hai,  kuchh  karo,  lite  gum  lagao.",packing aap ka fevicol joro se chipak jata hai ukhadta nahi hai kuchh karo lite gum lagao
1218,3,"khane  ke baad,  butter  milk  hota  to achha  raheta ",khane ke baad butter milk hota achha raheta
1219,1,the packing is so bad tat I can't open it how to eat food,packing bad tat cant open eat food
1220,1,દાળ ખૂબ ઓછી હતી,
1221,5,very less tasty gujarati food ,less tasty gujarati food
1222,5,first class ,first class
1223,1,given option for veg and paneer sabji ...,given option veg paneer sabji
1224,1, buttermilk  is not included in thali?,buttermilk included thali
1225,4,Missing sweet,missing sweet
1226,5,na,na
1227,2,superb taste...value for money.,superb tastevalue money
1228,5,Despite of instructions shared well in advance restaurant ignored and instead sent more pathetic packing and food was all slipped plus 50% of the portion was oil. Also there was no difference in lunch and dinner contents and was absolutely the same. Paneer veg contained 50% of oil and potato-pea veg was absolutely same in lunch as well as in dinner which means food was cooked in the morning itself. I trusted Kansar due to taste and quality but this time I had been let down by them ,despite instructions shared well advance restaurant ignored instead sent pathetic packing food slipped plus portion oil also difference lunch dinner contents absolutely paneer veg contained oil potatopea veg absolutely lunch well dinner means food cooked morning trusted kansar due taste quality time let
1229,5,besat,besat
1230,1,goood,goood
1231,3,Superb Food...Value for money...,superb foodvalue money
1232,1,"ROTI QUANTITY AND QUALITY NOT PROPER.<br/>RECEIVED LESS ROTI, AS PER APP.",roti quantity quality properbrreceived less roti per app
1233,4,waste of money<br/>packing was worst didnt open...,waste moneybrpacking worst didnt open
1234,5,nice,nice
1235,5,Too cold food,cold food
1236,5,2 roti kum thi <br/>8 order ki thi <br/>6 hi aayi<br/>,roti kum thi br order ki thi br hi aayibr
1237,2,good food delivery ,good food delivery
1238,5,"Totally waste of money . <br/>Did I pay for cold food ?? You guys even don’t attend the call after delivering cold food .  I think food was packed Atlest 1 hour or may be 1:30hour when I ordered. <br/>Feeling cheated <br/><br/>Now don’t blaim on delivery guy, he was quick, check with your team .    Will never order again",totally waste money brdid pay cold food guys even dont attend call delivering cold food think food packed atlest hour may hour ordered brfeeling cheated brbrnow dont blaim delivery guy quick check team never order
1239,4,food is 1:15 min let,food min let
1240,4,quality and quantity both are very poor.... i m giving to 0 stra.... vest of money,quality quantity poor giving stra vest money
1241,5,perfect thali thnx sainath &amp; swiggy,perfect thali thnx sainath amp swiggy
1242,5,nice sarvice &amp; test tnx zometo,nice sarvice amp test tnx zometo
1243,1,nice,nice
1244,5,worst quantity very less ,worst quantity less
1245,1,taste was very bad and order preparing for food too late,taste bad order preparing food late
1246,1,taste is good food nice taste should improve lot average not happy with food ,taste good food nice taste improve lot average happy food
1247,1,"very less quantity, already small boxes for sabji and still its half filled ",less quantity already small boxes sabji still half filled
1248,4,very poor quality very bed Dish ,poor quality bed dish
1249,5,"There was,very spicy no salt in pulav and the pulav had very less paneer rather if we can remove 4 or 5 very small pieces of paneer we can say that pulav was veg pulav. very bad experience ",wasvery spicy salt pulav pulav less paneer rather remove small pieces paneer say pulav veg pulav bad experience
1250,1,Never buying again according quantity,never buying according quantity
1251,1,ok,ok
1252,1,Not recommended ,recommended
1253,3,mene 2 dish Oder ki thi alag alag restaurant se lekin dono hi dish same restaurant se aayi hai or same taste or same packaging hai... aap log customer ko bevakuf banate ho kya.,mene dish oder ki thi alag alag restaurant se lekin dono hi dish restaurant se aayi hai taste packaging hai aap log customer ko bevakuf banate ho kya
1254,1,we don't received our extra chapati while we have paid for it what is this??? how careless you people are ,dont received extra chapati paid careless people
1255,2,Bater milk<br/>,bater milkbr
1256,1,good taste,good taste
1257,3,nice food and Fast Delivery...<br/>,nice food fast deliverybr
1258,1,all good ,good
1259,4,no pic of panner in panner sabji.,pic panner panner sabji
1260,1,Bad taste,bad taste
1261,5,gulab jamun spoiled.very bad ,gulab jamun spoiledvery bad
1262,2,very nice,nice
1263,3,nice,nice
1264,3,taste is good,taste good
1265,5,bed qualify food,bed qualify food
1266,5,will not buy next time.,buy next time
1267,1,totally paisa waste of money...very disappointed..no taste no quantity...,totally paisa waste moneyvery disappointedno taste quantity
1268,1,very best quality of food 💯,best quality food
1269,5,very nice ,nice
1270,1,It takes more time to cook,takes time cook
1271,5,good,good
1272,3,Thanks for the food...,thanks food
1273,1,not got completed my order<br/>very poor quality ,got completed orderbrvery poor quality
1274,1,Doosa soft nahi tha khakhra Jaisa tha,doosa soft nahi tha khakhra jaisa tha
1275,5,I ordered one sada dosa with one mysore which I didn’t received,ordered one sada dosa one mysore didnt received
1276,5,"Delightful, Delicious, healthy <br/>There is full of healthy packing not tempred and on time delivery thank you ",delightful delicious healthy brthere full healthy packing tempred time delivery thank
1277,4,It was the worst food ever i had to throw it away it was unable to eat at all,worst food ever throw away unable eat
1278,5,they sent us the readymade dhosa from some farsaan Mart not the cooked dhosa and the Surma sabji is way less i ordered 2.,sent us readymade dhosa farsaan mart cooked dhosa surma sabji way less ordered
1279,3,my Vadapav contain hair which is very disappointing. not expected from your good brand. ,vadapav contain hair disappointing expected good brand
1280,5,Worst food ever. Veg cheese grill sandwich was having some bad smell <br/>I’ve had mumbai grill’s food before but this time the food was super bad,worst food ever veg cheese grill sandwich bad smell brive mumbai grills food time food super bad
1281,1,instructions not taken in to consideration sent too spicy food,instructions taken consideration sent spicy food
1282,5,Wrong order,wrong order
1283,5,tasty ,tasty
1284,1,sandwich ka taste sahi nahi hai<br/>or Thandi ho gayi hai,sandwich ka taste sahi nahi haibror thandi ho gayi hai
1285,3,Test and packaging not very good,test packaging good
1286,5,Taste was not good,taste good
1287,3,Very bad behaviour and delivery,bad behaviour delivery
1288,2,"sandwich ma bov badhi marchi nakhi hati, bov tikhi banavi hati....<br/>bilkul maja na avi....<br/>pesa barbaad....",sandwich bov badhi marchi nakhi hati bov tikhi banavi hatibrbilkul maja na avibrpesa barbaad
1289,1,all food tasted stale.quality becoming bad,food tasted stalequality becoming bad
1290,1,thanks ,thanks
1291,1,"wrong item you have given ,it is Mexican footlong ",wrong item given mexican footlong
1292,2,"delicious food, always Super taste Mumbai Grill ",delicious food always super taste mumbai grill
1293,1,POOR PACKAGING! 2 SEPERATE ORDERS WERE TOSSING ON EACH OTHER IN THE SAME PACKET.,poor packaging seperate orders tossing packet
1294,1,it had incorporated the taste n smell of the box,incorporated taste n smell box
1295,3,one piece was missing.. i order everytime so i knw they send 7 pieces.. this time 1 was missing ,one piece missing order everytime knw send pieces time missing
1296,1,applied lot of chutney rather give seperately.,applied lot chutney rather give seperately
1297,1,amezing test ,amezing test
1298,1,the food was the best.,food best
1299,1,fantastic service.,fantastic service
1300,5,Horrible Horrible Horrible <br/>Bread was not fresh.. it was so spicy and no other taste.. waste of money please don’t buy from them unless they learn to deliver fresh food for the price they are charging us,horrible horrible horrible brbread fresh spicy taste waste money please dont buy unless learn deliver fresh food price charging us
1301,3,Poor delivery,poor delivery
1302,4,I hve ordered 5 vada pav . 3 were good but 2 were  stale and not fresh .,hve ordered vada pav good stale fresh
1303,2,v good ,v good
1304,1,packing bad ,packing bad
1305,1,Worst Experience with Zomato ,worst experience zomato
1306,4,worst sandwich ever... never going to order from this outlet again,worst sandwich ever never going order outlet
1307,5,Ill need refund,ill need refund
1308,5,no,
1309,5,Not received in hot condition as expected because of packing was not proper. ,received hot condition expected packing proper
1310,2,bad taste,bad taste
1311,4,not good ,good
1312,4,well its was more of soggy wrap <br/>if possible add baked option what if it enhances the taste of it.!!,well soggy wrap brif possible add baked option enhances taste
1313,1,"u al r fraud tumhara zomato ka delivery boy mujge gali deke mera khana wapas leke gya h aur mere pese b deduct ho gye h ,i want my money bck",u al r fraud tumhara zomato ka delivery boy mujge gali deke mera khana wapas leke gya h aur mere pese b deduct ho gye h want money bck
1314,5,very bed experience never buy again,bed experience never buy
1315,3,it was bad,bad
1316,1,quantity is so low,quantity low
1317,2,Missing items,missing items
1318,2,food was delicious as usual. ,food delicious usual
1319,3,late delivery by hotel,late delivery hotel
1320,1,packing of roll was loose  pls check and correct it.,packing roll loose pls check correct
1321,3,Bever gonaa order again.,bever gonaa order
1322,1,Restaurant took too much time for handover the food to deliver partner. The restaurant just waste my and delivery boy time as well. Not satisfied with the restaurant ,restaurant took much time handover food deliver partner restaurant waste delivery boy time well satisfied restaurant
1323,1,"It was just awesome after very long time, I had eaten and got some good food from thanks Fasos.",awesome long time eaten got good food thanks fasos
1324,1,This very bad meal I ever eat<br/>And countaty is half bowl I think on jumbo bowl order very bad..,bad meal ever eatbrand countaty half bowl think jumbo bowl order bad
1325,2,the delivery boy couldn't locate the place and we struggled for about 8 minutes to reach him and get the packet from him.,delivery boy couldnt locate place struggled minutes reach get packet
1326,4,taste okay ,taste okay
1327,3,Worst service my food is not hot,worst service food hot
1328,1,Seems like potato wedgies packet was open,seems like potato wedgies packet open
1329,5,not good in test &amp;suasu are too less in quantity all roll are very dry,good test ampsuasu less quantity roll dry
1330,1,no taste at all.. 1.5 pcs of paneer in rich bowl.. liquid flowing out of wrap..,taste pcs paneer rich bowl liquid flowing wrap
1331,5,totally bakwas taste will never re order,totally bad taste never order
1332,5,"Had very bad experience with restaurants, food item missing then quality of the food looks dam horrible",bad experience restaurants food item missing quality food looks dam horrible
1333,1,delivery is too much late. ,delivery much late
1334,4,Excellent ,excellent
1335,5,good ,good
1336,2,Just 1 word : AWESOME!!! ,word awesome
1337,2,not follow my instructions  ,follow instructions
1338,1,very very lazy service.<br/>did late to prepare order as I was in continuous touch with Delivery guy according to him restaurant did late in delivering ,lazy servicebrdid late prepare order continuous touch delivery guy according restaurant late delivering
1339,1,"nice, Ful filling, tasty 😋 and nice handling.. loved it ",nice ful filling tasty nice handling loved
1340,2,too sweet,sweet
1341,5,Nice but very spicy,nice spicy
1342,1,yummy 😋😋😋😋😋😋😋,yummy
1343,5,no tests at all...,tests
1344,5,Not good teste,good teste
1345,1,Taste is not good also they added lots of capsicum in hydrabadi biryani...so dont order those who love hydrabadi biryani...,taste good also added lots capsicum hydrabadi biryaniso dont order love hydrabadi biryani
1346,1,onion ni salad bola tha fir bhi diya nahi,onion ni salad bola tha fir bhi diya nahi
1347,1,good ,good
1348,4,good ,good
1349,5,bed quality of kulcha,bed quality kulcha
1350,5,only 4 small pieces of paneer,small pieces paneer
1351,4,paneer quantity was very less. roti or naan are same made of maida. Only difference is butter or without butter. ,paneer quantity less roti naan made maida difference butter without butter
1352,5,best test ever,best test ever
1353,1,the delivery made by delivery boy was really amazing.... I'd really like to appreciate his service....grade him thanks and regards ☺️😇,delivery made delivery boy really amazing id really like appreciate servicegrade thanks regards
1354,1,supar,supar
1355,1,na,na
1356,2,good,good
1357,4,only garlic in dal very spicy.,garlic dal spicy
1358,4,My Suggestion Is Owner Has To Taste Food. Taste Is Horrible. In Paneer Butter Masala 4 Small Piece Paneer Another All Gravy. Kaju Curry Same As P.Butter Masala. I Put Food In Dustbin.,suggestion owner taste food taste horrible paneer butter masala small piece paneer another gravy kaju curry pbutter masala put food dustbin
1359,2,good person ,good person
1360,1,good food,good food
1361,2,test is  good but cheese cube not a gravy,test good cheese cube gravy
1362,5,happy for rider,happy rider
1363,5,some items are having same taste,items taste
1364,1,less quantity and poor test..,less quantity poor test
1365,3,Super fast delivery and great service,super fast delivery great service
1366,1,worst ,worst
1367,1,hydrad Biryani.... colity not good ,hydrad biryani colity good
1368,5,2nd time experience<br/>order veg biryani<br/> coment me likha tha veg biryani kothmari and capcicum mat dalna muje 2nd time Jain biryani aaya hai staff ko thoda padhne boliye pls ,nd time experiencebrorder veg biryanibr coment likha tha veg biryani kothmari capcicum mat dalna muje nd time jain biryani aaya hai staff ko thoda padhne boliye pls
1369,5,Nice delivery boy and super fast delivery😍😍😍,nice delivery boy super fast delivery
1370,5,order was spilled. ,order spilled
1371,4,excellent food,excellent food
1372,5,we feel cheat as wrote less spiecy while kaju kurry more spiecy and one kulcha missing in the order,feel cheat wrote less spiecy kaju kurry spiecy one kulcha missing order
1373,4,cost somewhat high,cost somewhat high
1374,1,good quality and time punctual service,good quality time punctual service
1375,3,So less paneer,less paneer
1376,1,i ordered cheese butter masala there were no cheese pcsin it. only two pcs were there.,ordered cheese butter masala cheese pcsin two pcs
1377,3,dal free me taste he nai tha jeera rice me rice poper nai thae,dal free taste nai tha jeera rice rice poper nai thae
1378,5,The amount for whole order has been deducted from the account and they didn’t send the Pepsi.<br/>It costs INR 57 and neither Zomato nor Tacobell has a courtesy to do the needful instead telling to send the bottle in 27 minutes so imagine what would be the condition of the food especially tacos.<br/>Crunchy tacos turned into cornflakes tacos.<br/>Very very bad service .,amount whole order deducted account didnt send pepsibrit costs inr neither zomato tacobell courtesy needful instead telling send bottle minutes imagine would condition food especially tacosbrcrunchy tacos turned cornflakes tacosbrvery bad service
1379,4,what a disappointment,disappointment
1380,4,Very good,good
1381,4,worst all products,worst products
1382,5,didn’t give cold drink which was included in the meal,didnt give cold drink included meal
1383,4,The non veg is not good. They don’t put enough chicken,non veg good dont put enough chicken
1384,1,"The size of the burrito has been reduced drastically, also there was very minimal filling inside it was like I'm having just meda roti ",size burrito reduced drastically also minimal filling inside like im meda roti
1385,4,It was great and spice sauce given. ,great spice sauce given
1386,3,"No delivery instructions were followed, taste just degraded. Crunch taco was already broken into pieces and very minimal amount of beans",delivery instructions followed taste degraded crunch taco already broken pieces minimal amount beans
1387,3,Didn’t get as expected,didnt get expected
1388,1,ek dum bakwas tha wast of money ,ek dum bad tha wast money
1389,1,food is not tasty agains price,food tasty agains price
1390,3,missed to add cheese in cheese fries ,missed add cheese cheese fries
1391,1,dilevery issue,dilevery issue
1392,2,sir I did not got another mexi wrap ,sir got another mexi wrap
1393,1,Package is not sealed,package sealed
1394,1,Worst food,worst food
1395,1,The food was not at all hot,food hot
1396,5,test is not good 😏,test good
1397,3,again my order was palced and still the samee my pepsi was spilt....what is this man?,order palced still samee pepsi spiltwhat man
1398,1,My pepsi was already wasted like u can see in the pic....i cant even open it ....i will have to throw it only now and that's so wste of my money and time.....pls take some action ,pepsi already wasted like u see pici cant even open throw thats wste money timepls take action
1399,1,Worst packing,worst packing
1400,1,burriot not as per standards ,burriot per standards
1401,2,food is too cold otherwise it is tasty,food cold otherwise tasty
1402,1,test is  bad...,test bad
1403,1,not added orange sachet ,added orange sachet
1404,5,"disappointed to try this food , considering high reputation this restaurant chain has , <br/><br/>taste was not good at all , quality was not good too , <br/><br/>they are using simple packaging , taking very high charge ,<br/><br/>not good at all.",disappointed try food considering high reputation restaurant chain brbrtaste good quality good brbrthey using simple packaging taking high charge brbrnot good
1405,1,Restaurant missed dip delivery,restaurant missed dip delivery
1406,1,For a restaurant that charges 35 INR for packaging and still delivers one of the worst packaging I've ever seen. Chalupa was just wrapped in paper and all the stuffing fell out into the caary bag.,restaurant charges inr packaging still delivers one worst packaging ive ever seen chalupa wrapped paper stuffing fell caary bag
1407,1,didnt follow instructions,didnt follow instructions
1408,3,Pepsi is missing in delivery ,pepsi missing delivery
1409,2,horrible . ,horrible
1410,1,very good ,good
1411,2,very good ,good
1412,1,but there was no perfect packaging ,perfect packaging
1413,1,please improvise the taste and the quantity in the combo ,please improvise taste quantity combo
1414,3,very bad test ,bad test
1415,3,Please do not waste money <br/>The worst butter chicken had only 2 pieces of chicken and did not taste anything like a butter chicken<br/>Kurkure chicken was not fried properly and the chicken was hard and flavourless<br/>Also the food was delivered extremely late worst ever,please waste money brthe worst butter chicken pieces chicken taste anything like butter chickenbrkurkure chicken fried properly chicken hard flavourlessbralso food delivered extremely late worst ever
1416,2,Very nice place and food qualities awesome quantities very nice specially mocktail bar awesome unique,nice place food qualities awesome quantities nice specially mocktail bar awesome unique
1417,1,"DO Not Order From Crave In . it Was Very Bad In Test ,Even Not Accepting The Customers ‘s Review .And Not Return Whole Amount Of Diwas .<br/>Bad Attitide To Talk To Customers .<br/>Never Ever Order From Crave <br/>Thanks .",order crave bad test even accepting customers review return whole amount diwas brbad attitide talk customers brnever ever order crave brthanks
1418,4,butter chicken was very sweet and sticky,butter chicken sweet sticky
1419,2,"packing not good, oil come out, roti no proper bake/roast 👎👎. Other item all taste and quality 👍",packing good oil come roti proper bakeroast item taste quality
1420,1,so osam,osam
1421,1,very bad smell coming from chiken. they are used 7-8 days old chiken,bad smell coming chiken used days old chiken
1422,5,very testy ,testy
1423,5,is this the coke which you said will be complementary????<br/>Are we fools??,coke said complementarybrare fools
1424,5,worst service ,worst service
1425,5,bakwas ,bad
1426,1,I just want my mutton rogan josh money back because it’s totally wasted and I can give u back tomorrow in the morning if want to taste.,want mutton rogan josh money back totally wasted give u back tomorrow morning want taste
1427,3,food was ok bread are raw,food ok bread raw
1428,5,too bad not like expected,bad like expected
1429,1,not tisshu not spoon<br/>and not gulabjamun my thali is not avalable ,tisshu spoonbrand gulabjamun thali avalable
1430,3,great work ,great work
1431,5,nice ,nice
1432,1,osm,osm
1433,2,"good taste, good quality and quantity ",good taste good quality quantity
1434,1,in order 1brownie is there but I didn't get one . overall experience is not satisfied.,order brownie didnt get one overall experience satisfied
1435,3,very bade smail in meat ,bade smail meat
1436,5,"very worst taste.Quantity wise it's fine but too much ghatia taste.Not much chicken, vegetables are available insde of the  fried rice box.It seems like ur having only dry rice.So if u want to save ur money don't order.",worst tastequantity wise fine much ghatia tastenot much chicken vegetables available insde fried rice boxit seems like ur dry riceso u want save ur money dont order
1437,1,"they don't deliver certain items but charge you money, cheater hote special Ankit. <br/>never order from this restaurant, zamato should remove this hotel from the  list. ",dont deliver certain items charge money cheater hote special ankit brnever order restaurant zamato remove hotel list
1438,5,"worst hotel of Surat, cheater",worst hotel surat cheater
1439,1,"!!! Don’t ORDER !!!<br/>chicken tandoori was half cook, owner refuse to refund or replace. i advance don’t order from this place. <br/>also zomoto did not wanted to refund they said they only delivery partner but they forget its they who charge for them. indirectly zomoto is responsible for such food. <br/>i will file legal complain against both in decent time for not been responsible for there own restaurant &amp; partnership of delivery.",dont order brchicken tandoori half cook owner refuse refund replace advance dont order place bralso zomoto wanted refund said delivery partner forget charge indirectly zomoto responsible food bri file legal complain decent time responsible restaurant amp partnership delivery
1440,5,rice cooked nahi the properly ,rice cooked nahi properly
1441,5,m too much dissatisfied with Crave In being a regular customer still the donot give a shit about anything<br/>saala kuch bhi bhej do and customer ko chu bana do,much dissatisfied crave regular customer still donot give shit anythingbrsaala kuch bhi bhej customer ko chu bana
1442,4,It tasted so bad,tasted bad
1443,5,Order not complete,order complete
1444,1,nice taste of biryani ,nice taste biryani
1445,1,good ,good
1446,1,average ,average
1447,5,Exilent,exilent
1448,1,nice ,nice
1449,1,?,
1450,1,very gud,gud
1451,5,good ,good
1452,1,worst pizza ever .. don't bluff customers ,worst pizza ever dont bluff customers
1453,5,Billing amount is different with payable amount. INR 246  is billing amount where payable amount is INR 305. Why so?,billing amount different payable amount inr billing amount payable amount inr
1454,4,nice,nice
1455,5,worst ever taste and quality.,worst ever taste quality
1456,3,worst chicken.. will never by buy again...,worst chicken never buy
1457,1,test is good ,test good
1458,5,amazing test,amazing test
1459,2,very tasty 😋 pizza 🍕,tasty pizza
1460,5,Overall very nice food.,overall nice food
1461,1,no is not good and is very cold i m not happy 😔,good cold happy
1462,4,good service,good service
1463,1,Food is not gud,food gud
1464,4,very bed West money,bed west money
1465,1,jaisa test hona chahiye wesa nhi tha or mene 2 ordar kiya tha eik hi aya ,jaisa test hona chahiye wesa nhi tha mene ordar kiya tha eik hi aya
1466,1,very slow services ,slow services
1467,1,Wont order from this restaurant,wont order restaurant
1468,5,givvivu,givvivu
1469,4,low quality and High price,low quality high price
1470,3,ur food item is very good taste,ur food item good taste
1471,5,good test,good test
1472,3,improve taste nd quantity against Rate u r taking from customer,improve taste nd quantity rate u r taking customer
1473,5,only pieces of chicken look like a greay and bread,pieces chicken look like greay bread
1474,1,"We were expecting wheat roti, got maida roti. Good spicy chicken, enough for 2 people. ",expecting wheat roti got maida roti good spicy chicken enough people
1475,4,The packing was wet. The chicken was wet. Had to throw the whole thing away.,packing wet chicken wet throw whole thing away
1476,4,"no taste ,not enoght masala,waste of money i dont order again.",taste enoght masalawaste money dont order
1477,1,not worth the money better to sell it at 150 that 298<br/>watery Dall sweet chicken mada rote . and full of disappointments <br/>you will not get an order from me ever again    <br/>☮️,worth money better sell brwatery dall sweet chicken mada rote full disappointments bryou get order ever br
1478,5,bad taste of sabji...stale food,bad taste sabjistale food
1479,1,Superb fast delivery,superb fast delivery
1480,1,Food quality wasn't as expected. Not worth for money. Delivery was also delayed,food quality wasnt expected worth money delivery also delayed
1481,1,रोटी कच्चा पनीर सbji not good taste. Disappointed,bji good taste disappointed
1482,1,Packing of food is not as per quality.,packing food per quality
1483,1,without packing / carry bag only thali delivered<br/><br/>spoon need to be provide<br/><br/>delay in delivery<br/><br/>delivery boy do not wear uniform,without packing carry bag thali deliveredbrbrspoon need providebrbrdelay deliverybrbrdelivery boy wear uniform
1484,2,Bhot late delivery huva,bhot late delivery huva
1485,3,it wasn't as before.,wasnt
1486,2, not sabji like as paneer tikka,sabji like paneer tikka
1487,3,packing sahi nahi thi carry bag nahi diye,packing sahi nahi thi carry bag nahi diye
1488,1,bad,bad
1489,1,overpriced ,overpriced
1490,1,please increase the no. of rotties and size of kulcha ,please increase rotties size kulcha
1491,1,food plate was not in the plastic bag and there was no mukhvas in the plate,food plate plastic bag mukhvas plate
1492,4,Nice taste,nice taste
1493,5,kadai chicken is to salty,kadai chicken salty
1494,2,Such an authentic taste!!!,authentic taste
1495,1,chicken curry too much salty,chicken curry much salty
1496,4,roti or salad kam aaya tha .,roti salad kam aaya tha
1497,1,okay ,okay
1498,1,paneer taste was worst,paneer taste worst
1499,3,Good 👍,good
1500,3,GOOD SERVICE ,good service
1501,1,the item I have oder i didn't get the same item,item oder didnt get item
1502,3,no spoon available. rice qty not as per picture shown in app. overall taste is good 😊,spoon available rice qty per picture shown app overall taste good
1503,4,spoon not available ,spoon available
1504,1,food is good but rice not perfect,food good rice perfect
1505,3,overall quantity is quite Less and also paratha size and Roti size are very small compared to regular rotis,overall quantity quite less also paratha size roti size small compared regular rotis
1506,3,very less quantity ,less quantity
1507,5,good ,good
1508,3,No Taste...very Bad...Money waste,tastevery badmoney waste
1509,3,vey fast person,vey fast person
1510,5,Dish is tastesless... and roti is hard to eat and dry.... ,dish tastesless roti hard eat dry
1511,2,service excellent food was not good,service excellent food good
1512,4,rate is too high as per quality rate is too high. i thik the plate was maximum 125 to 150,rate high per quality rate high thik plate maximum
1513,1,Bhangar thali ….. badhu kachu hatu,bhangar thali badhu kachu hatu
1514,1,Vaahiyaat ! Most worst thali I had !!,vaahiyaat worst thali
1515,4,delicious food ,delicious food
1516,3,too salty,salty
1517,2,service quality of staff was good,service quality staff good
1518,4,Wrong order delivered,wrong order delivered
1519,4,nice 👍,nice
1520,1,Total tasteless foood<br/>not to order from this restaurant for sure,total tasteless fooodbrnot order restaurant sure
1521,5,"A total waste of time &amp; money as All repeat ALL items were totally tasteless, bad quality / selection of vegetables, Watery &amp; tasteless Dal, Awful Pulav. Fasting is better than ordering here.",total waste time amp money repeat items totally tasteless bad quality selection vegetables watery amp tasteless dal awful pulav fasting better ordering
1522,5,gulab jamun was given and restaurant and delivery partner both denied and said it was given,gulab jamun given restaurant delivery partner denied said given
1523,1,Value for money💸,value money
1524,1,Quality bigad diye pehle se,quality bigad diye pehle se
